date,count,uniques
2026-08-13,0,0
2026-08-13,6,6
2026-08-14,5,5
2026-08-15,3,3
2026-08-17,1,1
2026-08-19,3,3
2026-08-20,2,2
2026-08-21,15,9
2026-08-22,15,7
2026-08-23,31,17
2026-08-24,3,3
