date,count,uniques
2025-10-01,40,26
2025-10-02,33,20
2025-10-03,9,7
2025-10-04,9,2
2025-10-05,1,1
2025-10-07,16,10
2025-10-09,1,1
2025-10-10,1,1
2025-10-14,2,1
2025-10-15,2,1
2025-10-17,2,1
2025-10-20,2,2
2025-10-22,5,2
2025-10-23,2,1
2025-10-27,1,1
2025-10-28,4,4
2025-10-29,2,2
2025-10-31,2,1
2025-11-01,10,4
2025-11-02,3,2
2025-11-03,2,1
2025-11-05,2,1
2025-11-06,1,1
2025-11-07,8,3
2025-11-14,1,1
2025-11-21,1,1
2025-11-25,1,1
2025-11-30,1,1
2025-12-18,1,1
2025-12-20,1,1
